DATE,OPEN,HIGH,LOW,CLOSE,Volume
2018-11-14,21851.13,21990.41,21764.88,21846.48,775386
2018-11-13,21885.24,21892.29,21484.65,21810.52,883898
2018-11-12,22121.7,22324.01,22046.29,22269.88,610746
2018-11-09,22471.31,22494.58,22226.01,22250.25,805031
2018-11-08,22446.01,22583.43,22421,22486.92,844095
2018-11-07,22189.74,22444.65,21996.94,22085.8,993176
2018-11-06,22018.87,22160.83,21994.28,22147.75,749274
2018-11-05,22002.47,22051.65,21865.98,21898.99,810710
2018-11-02,21761.58,22308.42,21751.33,22243.66,1050840
2018-11-01,21906.41,21906.41,21628.45,21687.65,1050197
2018-10-31,21569.56,21920.46,21530.39,21920.46,1081690
2018-10-30,21049.52,21568.4,21035.88,21457.29,1205171
2018-10-29,21323.61,21465.99,21109.97,21149.8,730171
2018-10-26,21440.84,21476.66,20971.93,21184.6,958103
2018-10-25,21676.83,21703.21,21204.4,21268.73,965272
2018-10-24,22167.76,22207.09,21911.42,22091.18,864524
2018-10-23,22404.14,22410.15,21993.07,22010.78,826568
2018-10-22,22374.21,22672.25,22271.59,22614.82,649091
2018-10-19,22342,22551.67,22212.57,22532.08,694700
2018-10-18,22871.28,22873.13,22637.29,22658.16,662836
2018-10-17,22806.59,22959.41,22765.58,22841.12,742996
2018-10-16,22298.2,22549.24,22269.53,22549.24,723401
2018-10-15,22501.33,22520.59,22261.92,22271.3,824289
2018-10-12,22323.43,22711.13,22323.43,22694.66,1026307
2018-10-11,23043.37,23051.19,22459.02,22590.86,1189283
2018-10-10,23538.92,23589.38,23373.54,23506.04,728306
2018-10-09,23550.47,23587.05,23442.46,23469.39,892098
2018-10-05,23781.76,23928.62,23730.19,23783.72,871861
2018-10-04,24242.06,24247.82,23923.26,23975.62,921510
2018-10-03,24219.19,24260.63,24030.59,24110.96,734699
2018-10-02,24376.17,24448.07,24217.26,24270.62,830144
2018-10-01,24173.37,24306.54,24123.5,24245.76,669602
2018-09-28,24080.01,24286.1,24021.27,24120.04,935005
2018-09-27,23946.43,24089.32,23778.04,23796.74,785727
2018-09-26,23846.6,24033.79,23833.92,24033.79,867645
2018-09-25,23881.85,23950.98,23808.95,23940.26,1038616
2018-09-21,23848.63,23971.41,23764.05,23869.93,1243258
2018-09-20,23752.79,23781.75,23582.15,23674.93,1046994
2018-09-19,23754.96,23842.05,23672.52,23672.52,964622
2018-09-18,23042.19,23481.53,23039.26,23420.54,933744
2018-09-14,23035.78,23105.28,22965.48,23094.67,1059276
2018-09-13,22657.95,22858.41,22643.88,22821.32,773083
2018-09-12,22702.71,22709.37,22522.17,22604.61,822690
2018-09-11,22469.78,22667.85,22457.1,22664.69,788525
2018-09-10,22253.65,22396.88,22249.61,22373.09,574178
2018-09-07,22351.84,22372.89,22172.9,22307.06,720048
2018-09-06,22458.97,22535.34,22416.63,22487.94,640782
2018-09-05,22663.8,22692.25,22570.52,22580.83,673724
2018-09-04,22740.05,22753.18,22612.15,22696.9,538720
2018-09-03,22819.17,22820.48,22684.43,22707.38,513668
2018-08-31,22733.25,22890.61,22678.03,22865.15,701664
2018-08-30,23020.18,23032.17,22832.83,22869.5,761970
2018-08-29,22820.86,22968.18,22819.97,22848.22,605991
2018-08-28,22967.74,23006.77,22813.47,22813.47,625857
2018-08-27,22693.69,22838.06,22682.39,22799.64,517647
2018-08-24,22484.01,22602.24,22452.42,22601.77,519749
2018-08-23,22420.67,22463.03,22377.88,22410.82,516918
2018-08-22,22270.04,22390.2,22162.81,22362.55,588985
2018-08-21,22110.54,22306.83,22053.14,22219.73,562223
2018-08-20,22267.07,22288.31,22150.75,22199,481624
2018-08-17,22313.19,22340.95,22244.1,22270.38,577544
2018-08-16,21980.82,22240.42,21871.7,22192.04,802622
2018-08-15,22368.12,22380.28,22110.29,22204.22,631271
2018-08-14,22053.07,22356.08,22047.19,22356.08,614846
2018-08-13,22117.57,22124.6,21851.32,21857.43,801820
2018-08-10,22606.91,22608.86,22272.69,22298.08,762212
2018-08-09,22591.54,22648.88,22497.99,22598.39,637205
2018-08-08,22666.56,22800.61,22610.29,22644.31,749895
2018-08-07,22514.31,22666.68,22499.05,22662.74,715164
2018-08-06,22536.05,22635.68,22486.74,22507.32,690548
2018-08-03,22585.54,22613.5,22490.57,22525.18,738919
2018-08-02,22676.73,22754.73,22464.81,22512.53,973641
2018-08-01,22642.18,22775.47,22615.98,22746.7,1039454
2018-07-31,22472.12,22678.06,22352.21,22553.72,1190363
2018-07-30,22613.3,22631.32,22518.94,22544.84,785712
2018-07-27,22646.48,22712.75,22593.2,22712.75,754914
2018-07-26,22711.59,22717.15,22549.77,22586.87,718253
2018-07-25,22594.28,22645.66,22547.14,22614.25,604856
2018-07-24,22555.05,22555.05,22416.23,22510.48,725755
2018-07-23,22480.33,22507.17,22341.87,22396.99,906894
2018-07-20,22734.56,22869.98,22541.35,22697.88,719152
2018-07-19,22871.62,22926.47,22761.87,22764.68,643170
2018-07-18,22917.52,22949.32,22794.19,22794.19,582013
2018-07-17,22605.73,22832.22,22575.42,22697.36,780881
2018-07-13,22397.62,22692.86,22316.52,22597.35,748164
2018-07-12,22036.87,22233.52,22019.19,22187.96,663582
2018-07-11,22002.14,22044.62,21744.25,21932.21,771893
2018-07-10,22215.34,22321.6,22196.89,22196.89,934947
2018-07-09,21838.53,22105.95,21825.76,22052.18,630772
2018-07-06,21647.66,21866.16,21642.96,21788.14,738437
2018-07-05,21697.44,21751.5,21462.95,21546.99,688367
2018-07-04,21679,21784,21604.18,21717.04,640866
2018-07-03,21889.06,21927.81,21574.56,21785.54,788798
2018-07-02,22233.8,22312.25,21784.48,21811.93,692497
2018-06-29,22314.47,22332.82,22145.48,22304.51,699798
2018-06-28,22195.19,22299.39,22038.4,22270.39,721978
2018-06-27,22320.88,22356.54,22205.34,22271.77,677767
2018-06-26,22160.33,22368.78,22104.12,22342,735174
2018-06-25,22543.56,22556.55,22312.79,22338.15,625477
2018-06-22,22456.45,22535.65,22414.18,22516.83,886101
2018-06-21,22523.28,22782.01,22491.08,22693.04,783004
2018-06-20,22338.53,22581.4,22167.16,22555.43,917024
2018-06-19,22565.92,22618.52,22278.48,22278.48,818903
2018-06-18,22806.57,22806.89,22601.13,22680.33,669855
2018-06-15,22883.24,22885.84,22770.38,22851.75,912370
2018-06-14,22842.96,22898.39,22738.61,22738.61,742713
2018-06-13,22896.17,22993.26,22895.31,22966.38,587738
2018-06-12,22977.22,23011.57,22797.73,22878.35,659017
2018-06-11,22686.95,22856.08,22667.3,22804.04,573985
2018-06-08,22799.38,22879,22694.5,22694.5,877581
2018-06-07,22748.72,22856.37,22732.18,22823.26,743579
2018-06-06,22520.31,22662.82,22498.59,22625.73,700134
2018-06-05,22552.17,22602.13,22470.04,22539.54,678022
2018-06-04,22365.09,22515.72,22355.83,22475.94,741228
2018-06-01,22126.25,22316.91,22098.04,22171.35,850358
2018-05-31,22163.4,22254.42,22098,22201.82,1365398
2018-05-30,22051.97,22079.23,21931.65,22018.52,933233
2018-05-29,22431.95,22439.1,22240.39,22358.43,616424
2018-05-28,22488.95,22547.67,22410.91,22481.09,545112
2018-05-25,22380.22,22509.36,22318.15,22450.79,725572
2018-05-24,22621.29,22644.69,22366.6,22437.01,881970
2018-05-23,22868.79,22949.73,22649.85,22689.74,773137
2018-05-22,23025.95,23031.67,22952.87,22960.34,612262
2018-05-21,22937.58,23050.39,22935.31,23002.37,608974
2018-05-18,22907.2,22954.19,22867.3,22930.36,672853
2018-05-17,22820.62,22887.03,22799.16,22838.37,779173
2018-05-16,22730.12,22796.14,22695.84,22717.23,826583
2018-05-15,22889.47,22912.06,22805.72,22818.02,891344
2018-05-14,22705.3,22894.76,22683.64,22865.86,709815
2018-05-11,22573.95,22769.16,22545.47,22758.48,827483
2018-05-10,22482.51,22530.64,22418.75,22497.18,755870
2018-05-09,22463.01,22478.64,22364.75,22408.88,887137
2018-05-08,22440.65,22566.68,22423.23,22508.69,794463
2018-05-07,22513.22,22513.48,22350.91,22467.16,710778
2018-05-02,22568.19,22568.19,22426.55,22472.78,728576
2018-05-01,22453.42,22519.45,22411.43,22508.03,926773
2018-04-27,22466.66,22495.56,22357.53,22467.87,919187
2018-04-26,22278.77,22381.66,22265.2,22319.61,750734
2018-04-25,22118.62,22228.78,22080.76,22215.32,755984
2018-04-24,22228.82,22304.69,22149.59,22278.12,789319
2018-04-23,22157.88,22204.86,22065.52,22088.04,659952
2018-04-20,22148.22,22261.35,22076.63,22162.24,718220
2018-04-19,22231.86,22360.65,22176.86,22191.18,821701
2018-04-18,21929.01,22194.11,21914.96,22158.2,726076
2018-04-17,21801.83,21889.89,21772.42,21847.59,592456
2018-04-16,21843.55,21879.69,21775.61,21835.53,550306
2018-04-13,21801.41,21917.35,21746.69,21778.74,754051
2018-04-12,21657.87,21719.43,21591.39,21660.28,601806
2018-04-11,21819.09,21837.36,21687.1,21687.1,716520
2018-04-10,21599.67,21933.99,21542.37,21794.32,770246
2018-04-09,21534.33,21737.09,21517.77,21678.26,640432
2018-04-06,21633.73,21742.84,21550.42,21567.52,767065
2018-04-05,21541.18,21737.66,21462.1,21645.42,832020
2018-04-04,21415.85,21415.85,21238.18,21319.55,779097
2018-04-03,21115.48,21333.5,21056.02,21292.29,657954
2018-04-02,21441.57,21597.47,21388.58,21388.58,490335
2018-03-30,21392.42,21512.8,21311.5,21454.3,655768
2018-03-29,21250.96,21298.57,20996.22,21159.08,813223
2018-03-28,20893.05,21031.31,20776.82,21031.31,908125
2018-03-27,20958.9,21317.32,20943.31,21317.32,1050907
2018-03-26,20423.37,20766.1,20347.49,20766.1,1004845
2018-03-23,21188.8,21188.8,20559.61,20617.86,1246989
2018-03-22,21352.16,21592,21349.71,21591.99,851614
2018-03-20,21297.98,21384.86,21223.97,21380.97,685636
2018-03-19,21537.9,21659.04,21366.88,21480.9,693524
2018-03-16,21876.53,21879.28,21632.85,21676.51,779919
2018-03-15,21704.14,21825.97,21555.49,21803.95,672610
2018-03-14,21764.99,21881.09,21684.02,21777.29,669693
2018-03-13,21742.45,21968.1,21700.78,21968.1,702201
2018-03-12,21826.1,21971.16,21689.97,21824.03,728258
2018-03-09,21594.22,21884.45,21357.55,21469.2,1139188
2018-03-08,21488.16,21488.16,21299.4,21368.07,742541
2018-03-07,21261.96,21484.08,21201.94,21252.72,897302
2018-03-06,21390.2,21551.14,21381.42,21417.76,787621
2018-03-05,21047.81,21164.38,20937.26,21042.09,898566
2018-03-02,21339.98,21366.09,21088.96,21181.64,1000586
2018-03-01,21901.13,21901.13,21645.22,21724.47,930668
2018-02-28,22292.53,22380.28,22068.24,22068.24,914897
2018-02-27,22391.67,22502.05,22325.07,22389.86,765758
2018-02-26,22134.64,22226.53,22040.87,22153.63,665568
2018-02-23,21789.72,21903.39,21741.63,21892.78,665755
2018-02-22,21789.88,21799.4,21626.85,21736.44,796713
2018-02-21,21942.42,22130.58,21836.73,21970.81,803495
2018-02-20,22054.32,22063.87,21831.45,21925.1,696266
2018-02-19,21903.66,22152.85,21858.33,22149.21,706079
2018-02-16,21555.99,21866.37,21499.88,21720.25,801702
2018-02-15,21384.1,21578.99,21308.92,21464.98,891144
2018-02-14,21251.24,21371.01,20950.15,21154.17,1071110
2018-02-13,21633.34,21679.2,21211.53,21244.68,1181617
2018-02-09,21507.74,21510.3,21119.01,21382.62,1315403
2018-02-08,21721.57,21977.03,21649.7,21890.86,1079441
2018-02-07,22001.29,22353.87,21627.13,21645.37,1479375
2018-02-06,22267,22277.45,21078.71,21610.24,1960131
2018-02-05,22921.16,22967.69,22659.43,22682.08,1109257
2018-02-02,23361.67,23367.96,23122.45,23274.53,1016704
2018-02-01,23276.1,23492.77,23211.12,23486.11,1048996
2018-01-31,23205.23,23375.38,23092.85,23098.29,1028901
2018-01-30,23559.33,23581.98,23233.37,23291.97,914748
2018-01-29,23707.14,23787.23,23580.17,23629.34,708859
2018-01-26,23757.34,23797.96,23592.28,23631.88,898745
2018-01-25,23750.65,23828.4,23649.03,23669.49,840057
2018-01-24,24026.43,24072.77,23917.14,23940.78,824274
2018-01-23,23924.4,24129.34,23916.02,24124.15,757499
2018-01-22,23797.84,23816.33,23697.81,23816.33,671640
2018-01-19,23854.11,23872.69,23735.61,23808.06,740328
2018-01-18,24078.93,24084.42,23699.47,23763.37,1025011
2018-01-17,23783.42,23891.63,23739.17,23868.34,847429
2018-01-16,23721.17,23962.07,23701.83,23951.81,706432
2018-01-15,23827.98,23833.27,23685.02,23714.88,776954
2018-01-12,23719.66,23743.05,23588.07,23653.82,966084
2018-01-11,23656.39,23734.97,23601.84,23710.43,862803
2018-01-10,23832.81,23864.76,23755.45,23788.2,914878
2018-01-09,23948.97,23952.61,23789.03,23849.99,970172
2018-01-05,23643,23730.47,23520.52,23714.53,1051263
2018-01-04,23073.73,23506.33,23065.2,23506.33,1053915
2017-12-29,22831.49,22881.21,22753.2,22764.94,478722
2017-12-28,22912.05,22954.45,22736.43,22783.98,519037
2017-12-27,22854.39,22936.16,22854.39,22911.21,487441
2017-12-26,22922.95,22950.15,22877.63,22892.69,477844
2017-12-25,22909.41,22948.83,22870.19,22939.18,444478
2017-12-22,22850.73,22908.84,22801.16,22902.76,802245
2017-12-21,22852.01,22894.95,22728.06,22866.1,753327
2017-12-20,22834.93,22923.5,22806.73,22891.72,952698
2017-12-19,22961.47,22990.42,22862.82,22868,726762
2017-12-18,22770.44,22927.5,22735.2,22901.77,878113
2017-12-15,22621.36,22745.09,22478.32,22553.22,1025282
2017-12-14,22699.3,22786.61,22638.76,22694.45,876577
