DATE,OPEN_8316,CLOSE_8316,OPEN_8385,CLOSE_8385,saya_divide,saya_divide_mean,saya_divide_std,saya_divide_sigma,deviation_rate(%),CORR_3M,COINT_3M,CORR_1Y,COINT_1Y
2019-05-28,3833.0,3866.0,566.0,566.0,6.830388692579505,6.550593628862187,0.10741020567516564,2.604920658689412,4.1,0.7871203339429141,0.3803626598142572,0.8940316111614383,0.3635085436159796
2019-05-27,3815.0,3838.0,570.0,568.0,6.757042253521127,6.549261102977766,0.10451162720446212,1.9881151609750216,3.08,0.7766586957240482,0.3797281074105853,0.8942618237838822,0.3631785752694554
2019-05-24,3782.0,3815.0,560.0,567.0,6.728395061728395,6.550187614427416,0.10663595447799488,1.6711759947509388,2.65,0.7649556569008008,0.3019333369853853,0.8943208341246139,0.3660045522986631
2019-05-23,3809.0,3820.0,573.0,570.0,6.701754385964913,6.550851030411094,0.1078899766527,1.3986781741512446,2.25,0.7496504730473791,0.3151757477289365,0.8946432514526238,0.35783382254799034
2019-05-22,3860.0,3847.0,583.0,575.0,6.690434782608696,6.550814260671806,0.10783899923985524,1.2947127006097894,2.09,0.7388961291027362,0.5188882749112536,0.8952621965006865,0.3659687425571757
2019-05-21,3830.0,3849.0,573.0,582.0,6.61340206185567,6.549903293053306,0.10694054421253384,0.593776376115746,0.96,0.7275389013989291,0.2980007608087154,0.8959466332556205,0.3588934840386636
2019-05-20,3848.0,3864.0,587.0,581.0,6.650602409638554,6.549337360171357,0.10671508157708699,0.9489291295162162,1.52,0.722373520702295,0.5130198509298002,0.8967416240196271,0.3527317673336502
2019-05-17,3829.0,3830.0,581.0,580.0,6.603448275862069,6.54787286658971,0.10606703292435063,0.5239649657400796,0.84,0.7202127928974474,0.4701934836443582,0.8973335533418522,0.3642438600971573
2019-05-16,3860.0,3811.0,579.0,576.0,6.616319444444445,6.5452646274792485,0.10706877693487593,0.6636371405308464,1.07,0.6897468781617273,0.449039100925222,0.8977854282674719,0.3566332272960582
2019-05-15,3800.0,3833.0,587.0,586.0,6.540955631399317,6.541555581895203,0.10933732803048277,-0.005487151613203216,-0.01,0.6665508859874955,0.4163340638982847,0.8975515401894115,0.42733801857662224
2019-05-14,3750.0,3815.0,572.0,584.0,6.532534246575342,6.540207749533657,0.10995772287461315,-0.06978593915649592,-0.12,0.6318998536752133,0.3279514433281806,0.8971042383545128,0.4577576490463077
2019-05-13,3818.0,3842.0,572.0,582.0,6.601374570446735,6.5396292739922295,0.11011058804573398,0.56075712200229,0.94,0.5931589090223754,0.6846852048585521,0.8950095655396026,0.5900339582166461
2019-05-10,3876.0,3880.0,575.0,578.0,6.71280276816609,6.538809588151977,0.10987646513353984,1.583534561315268,2.59,0.5645863522754883,0.6238886969553223,0.8910043429045037,0.609740379027844
2019-05-09,3913.0,3898.0,590.0,582.0,6.697594501718213,6.536151188826988,0.10803108497788531,1.4944153613219167,2.41,0.5458850510470813,0.4557779104776454,0.8863186349244032,0.6081778410938982
2019-05-08,3952.0,3967.0,603.0,597.0,6.644891122278057,6.532551387838871,0.10708558117859383,1.0490649927167113,1.69,0.5536324621287898,0.12810102293922104,0.8818778653029866,0.5701399759963967
2019-05-07,4041.0,4020.0,612.0,612.0,6.568627450980392,6.530111891995299,0.1065814309517939,0.361372132473184,0.59,0.5955402776567936,0.2345403012697808,0.8788560087457633,0.4309268796592283
2019-04-26,3995.0,4021.0,611.0,616.0,6.527597402597403,6.527832206071712,0.10755728842701406,-0.0021830549816108974,-0.0,0.4658568623280561,0.4171832729626504,0.8711290533301765,0.4493346562385399
2019-04-25,3996.0,4030.0,602.0,612.0,6.584967320261438,6.526121883117734,0.1085626022819382,0.542041512517184,0.89,0.4643791314307799,0.4220106770056622,0.8709066557257641,0.2780906782293312
2019-04-24,4040.0,4007.0,610.0,604.0,6.6341059602649,6.5236057655596,0.10935354250736275,1.0104857343589109,1.67,0.4656481548487356,0.3088471140601305,0.8715796661165701,0.22365735715458512
2019-04-23,4040.0,4054.0,605.0,609.0,6.656814449917898,6.519190032618375,0.11146848060135264,1.2346487236307906,2.07,0.4707986527487783,0.16312433742725235,0.8724105980388323,0.2517180622300629
2019-04-22,4022.0,4061.0,600.0,602.0,6.745847176079734,6.514225610067745,0.1135012643074286,2.0406959114095913,3.43,0.5007623344009129,0.1310261437220684,0.8726868392604027,0.3008764407837302
2019-04-19,4077.0,4061.0,608.0,603.0,6.734660033167496,6.509079135609289,0.11161741263970526,2.021018873519042,3.35,0.5021601155132825,0.030751788836291663,0.8721909052212738,0.3495587425600512
2019-04-18,4119.0,4078.0,615.0,606.0,6.729372937293729,6.504472857689579,0.10931782614728432,2.0573047190047666,3.34,0.5276116737864301,0.051419386261198685,0.8713981435041434,0.3722705448587953
2019-04-17,4019.0,4053.0,614.0,615.0,6.590243902439024,6.502177159485073,0.10633803991941683,0.8281772263311264,1.34,0.5224179172178033,0.02293053246574301,0.8697797928888932,0.4056184091183859
2019-04-16,3970.0,3989.0,611.0,607.0,6.57166392092257,6.501198892650895,0.10585977342771288,0.6656449942224066,1.07,0.5327075278204034,0.02052318549158056,0.8676103156836276,0.4158583734616066
2019-04-15,4020.0,3996.0,620.0,621.0,6.434782608695652,6.499533178974448,0.10572068416067323,-0.6124683243667678,-1.01,0.5545867869116313,0.030235401265293425,0.866586154528623,0.4239230340232625
2019-04-12,3932.0,3923.0,613.0,604.0,6.495033112582782,6.499600068606555,0.105681274917768,-0.043214429683282665,-0.07,0.5636829744663413,0.3112733996431579,0.8660234603047365,0.3977596475453085
2019-04-11,3898.0,3893.0,600.0,606.0,6.424092409240924,6.4979776972808905,0.1066682944009096,-0.6926640053160604,-1.15,0.5675854797765261,0.026963321690733344,0.8647581982476549,0.46211333464425197
2019-04-10,3940.0,3955.0,604.0,604.0,6.548013245033113,6.498280578632855,0.1064901714944841,0.4670164927176797,0.76,0.5809468040065333,0.6876656792276616,0.8637276141528814,0.4394152790131684
2019-04-09,3991.0,3987.0,614.0,610.0,6.536065573770492,6.4967318087100265,0.1066002375296813,0.3689838406740303,0.6,0.5992433582565991,0.6508486100903725,0.8628444824802431,0.4376337981934863
2019-04-08,4035.0,4004.0,622.0,615.0,6.510569105691057,6.493857771999925,0.108391714216258,0.1541753796585481,0.26,0.6015735207338287,0.7200626350568333,0.8620512957022807,0.4326760274646908
2019-04-05,4007.0,4044.0,620.0,621.0,6.51207729468599,6.491272047144292,0.11025925762989647,0.18869388375109344,0.32,0.6254195793108609,0.8067567579882835,0.8609658506936085,0.4685775733439485
2019-04-04,4007.0,4020.0,622.0,616.0,6.525974025974026,6.488543594757757,0.11222504674970976,0.3335301013484874,0.57,0.6201636879643304,0.8326279162613047,0.8598120215276404,0.4620464445754015
2019-04-03,4035.0,4021.0,616.0,622.0,6.464630225080386,6.485249572351214,0.11467698525529867,-0.17980370886908467,-0.32,0.6436061246790054,0.9368092914620012,0.8585929562757105,0.4479534207215864
2019-04-02,4015.0,3996.0,614.0,616.0,6.487012987012987,6.482061241926607,0.11846745079582603,0.0417983594068757,0.08,0.639786370092619,0.9392810727726596,0.8578333422722723,0.3893995179433475
2019-04-01,3928.0,3937.0,593.0,603.0,6.529021558872305,6.477166116819038,0.1255359094492538,0.41307258043347755,0.79,0.6399288409363679,0.9388843824747792,0.8567445750247187,0.4107847578641509
2019-03-29,3916.0,3876.0,593.0,586.0,6.614334470989761,6.471794177715756,0.13167235096046928,1.0825377707184625,2.16,0.6355674873298032,0.9375987046804676,0.8554111216495123,0.3914265115959424
2019-03-28,3879.0,3885.0,603.0,591.0,6.573604060913706,6.46292574132462,0.14362947851000574,0.7705822003759185,1.68,0.6317270924271557,0.9379864566821942,0.8538958683365159,0.4411986497459414
